StudyID,Visit1,mon_utm_x,mon_utm_y,lon,lat,dist_wrp,MinDist,elevation,EVI,capacity,dist_dc,inactive_2km,zipcode,days_prior,date_prior,month_floor,active_2km,monthly_oil_2km,monthly_gas_2km,num_odor_complaints
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,20,2022-11-16T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,21,2022-11-15T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,22,2022-11-14T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,23,2022-11-13T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,24,2022-11-12T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,25,2022-11-11T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,26,2022-11-10T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,27,2022-11-09T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1084,2022-12-06T08:00:00Z,384238.61522137286,3746963.942007261,-118.2514,33.85663,6536.013557132151,4434.206206956976,23,0.06628052959853119,400,1952.4920344407813,81,90746,28,2022-11-08T08:00:00Z,2022-11-01T07:00:00Z,0,0,0,0
1038,2023-01-31T08:00:00Z,389535.2937869218,3736957.773746376,-118.1929,33.76697,6765.168229283741,4005.7625503553986,21,0.08663745352005746,15,4403.839098411936,81,90802,0,2023-01-31T08:00:00Z,2023-01-01T08:00:00Z,298,203434,47700,0
