API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
04237207750000,,B-122,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,,,16.80,,,OIL,INACTIVE,2,"100136026,130251750",MULTIPLE,MULTIPLE,,1977-01-01,D,,,,,,1977-01-01,2022-10-01,438,,,,,,,,,,,,14818.17,1,2398.00,73,14622.00,1,88.9090,1,,,,950944.36,306308.00,899893.00,20429647.00,340.38,5.7057,5705.6660,440.00,605.00,50889.00,727.27,113.82,56197.50,6267.00,55153.00,277856.00,,,,92435.17,10711.00,90650.00,576321.00,554.6110,,,,4823.0000,6692.0000,571965.0000,LOS ANGELES BASIN,,CA,08,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7534290,-118.1590580,33.7534290,-118.1590580
04237207730000,,C-411 I,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,UNION PACIFIC,UNION PACIFIC,MULTIPLE,47.00,KB,0.00,5945.00,,OIL,ACTIVE,3,"100116037,105695562,130248063",MULTIPLE,MULTIPLE,,1977-01-01,D,,,,,,1977-01-01,2023-12-01,295,,,,,,,,,,,,5412.00,344,2675.00,24,5126.00,344,32.4720,344,,,,263787.66,109780.00,245491.00,3421236.00,447.19,1.5827,1582.7260,123.00,232.00,15659.00,530.17,311.22,18650.00,4806.00,17849.00,120295.00,,,,36466.00,12072.00,34454.00,230269.00,218.7960,,,,1858.0000,3573.0000,208964.0000,LOS ANGELES BASIN,,CA,16,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7389410,-118.1390460,,
04237207700000,,B-834,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,,,16.60,,,OIL,ACTIVE,2,"100139954,130258970",MULTIPLE,MULTIPLE,,1977-01-01,D,,,,,,1977-01-01,2023-12-01,552,,,,,,,,,,,,6611.00,42,4066.00,68,6474.00,42,39.6660,42,,,,778512.97,366996.00,717347.00,14762828.00,511.60,4.6711,4671.0780,192.00,134.00,26738.00,1432.84,199.90,15561.33,3692.00,14946.00,337269.00,,,,22493.17,5941.00,21503.00,505408.00,134.9590,,,,2848.0000,2062.0000,285382.0000,LOS ANGELES BASIN,,CA,08,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7534900,-118.1595760,,
04237207680000,,D-410,17,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,33.00,KB,0.00,5290.00,,INJECTION,ACTIVE,1,100139953,COM,,1969-02-08,1977-01-01,D,,,,,,1977-01-01,2019-12-01,501,,,,,,,,,,,,6846.17,27,2661.00,46,6712.00,27,41.0770,27,,,,636754.80,137314.00,613869.00,17873005.00,223.69,3.8205,3820.5280,275.00,869.00,87927.00,316.46,376.64,14415.17,5347.00,13524.00,129808.00,,,,27526.67,10288.00,25812.00,249523.00,165.1600,,,,3068.0000,9056.0000,963337.0000,LOS ANGELES BASIN,,CA,17,05S,12W,,,,,,,,,,,18.500000,,33.7404210,-118.1621630,,
04237207660000,,,C-528,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,36.00,KB,14.70,4747.00,,OIL,INACTIVE,2,"100116036,130973087",MULTIPLE,MULTIPLE,1969-02-25,1977-01-01,D,,,,,,1977-01-01,2021-02-01,526,,,,,,,,,,,,7892.67,1,1464.00,23,7807.00,1,47.3560,1,,,,882590.57,197523.00,849670.00,19262782.00,232.47,5.2955,5295.5430,74.00,180.00,29710.00,411.11,90.96,39813.50,2781.00,39350.00,81806.00,,,,75008.17,7333.00,73786.00,181139.00,450.0490,,,,1796.0000,5031.0000,463275.0000,LOS ANGELES BASIN,,CA,16,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7393800,-118.1399540,,
04237207640000,,C-814,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,,,-14.45,5046.00,,OIL,ACTIVE,3,"100194703,130231660,130253494",MULTIPLE,MULTIPLE,,1977-01-01,D,,,,,,1984-08-01,2023-10-01,273,,,,,,,,,,,,5085.83,185,1628.00,186,4817.00,185,30.5150,185,,,,276090.59,70948.00,264266.00,6811922.00,268.47,1.6565,1656.5440,2.00,10.00,1046.00,200.00,939.39,110.17,67.00,99.00,20136.00,,,,110.17,67.00,99.00,20136.00,0.6610,,,,2.0000,10.0000,1046.0000,LOS ANGELES BASIN,,CA,16,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7407190,-118.1389540,,
04237207540000,,C-514,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,UNION PACIFIC,UNION PACIFIC,MULTIPLE,,,1.87,6272.00,,OIL,ACTIVE,6,"100625938,109654848,128977290,130226114,130237202,130253493",MULTIPLE,MULTIPLE,,2005-12-01,D,,,,,,2005-12-01,2023-12-01,212,,,,,,,,,,,,4094.83,2,1355.00,2,3869.00,2,24.5690,2,,,,207347.00,79926.00,194026.00,3552623.00,411.93,1.2441,1244.0820,202.00,353.00,14937.00,572.24,350.22,17358.33,5810.00,16390.00,52477.00,,,,29869.67,10114.00,28184.00,109593.00,179.2180,,,,2738.0000,4949.0000,189123.0000,LOS ANGELES BASIN,,CA,16,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7391970,-118.1397860,,
04237207520000,,,D-406,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,,,0.00,,,OIL,ACTIVE,5,"100139951,100197743,100199996,130524230,130524511",MULTIPLE,MULTIPLE,,1977-01-01,D,,,,,,1977-01-01,2023-12-01,141,,,,,,,,,,,,8516.17,30,4513.00,30,8290.00,80,51.0970,30,,,,517995.53,125655.00,497053.00,993499.00,252.80,3.1080,3107.9730,104.00,276.00,6467.00,376.81,547.87,23588.33,12614.00,21486.00,55300.00,,,,44233.67,20272.00,40855.00,108355.00,265.4020,,,,1302.0000,3480.0000,86805.0000,LOS ANGELES BASIN,,CA,17,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7404560,-118.1620940,,
04237207510000,,A-263,7,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,RANGER,RANGER,RANGER,46.00,KB,19.69,5040.00,,OIL,INACTIVE,1,100116035,COM,,1969-02-07,1977-01-01,D,,,,,,1977-01-01,2023-04-01,541,,,,,,,,,,,,6540.17,55,3433.00,44,6536.00,55,39.2410,55,,,,1162922.73,150718.00,1137803.00,24026416.00,132.46,6.9775,6977.5360,9.00,46.00,16264.00,195.65,134.12,35018.33,5312.00,34133.00,124551.00,,,,68660.17,10063.00,66983.00,224040.00,411.9610,,,,782.0000,3986.0000,562527.0000,LOS ANGELES BASIN,,CA,07,05S,12W,,,,,,,,,,,16.000000,,33.7595140,-118.1805110,,
04237207500000,,D-636,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (WATERS) (CA),CA COAST,,,TERMINAL,TERMINAL,MULTIPLE,,,11.13,,,OIL,ACTIVE,2,"100139950,130226112",MULTIPLE,MULTIPLE,,1977-01-01,D,,,,,,1977-01-01,2023-12-01,559,,,,,,,,,,,,7548.83,129,2861.00,97,7508.00,129,45.2930,129,,,,804471.51,206121.00,770118.00,10521650.00,267.65,4.8268,4826.8290,161.00,370.00,19087.00,435.14,140.24,11024.67,2026.00,10687.00,21754.00,,,,18700.00,8484.00,17286.00,41881.00,112.2000,,,,1793.0000,4220.0000,210161.0000,LOS ANGELES BASIN,,CA,17,05S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7419970,-118.1623840,,
