API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
04037202670000,,J-323,12,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (CA),CA COAST,,,UPPER TERMINAL,UPPER TERMINAL,MULTIPLE,30.00,KB,16.40,4515.00,,OIL,ACTIVE,2,"100115974,130220463",MULTIPLE,MULTIPLE,1967-10-26,1967-11-17,D,,,,,,1977-07-01,2023-08-01,541,,,,,,,,,,,,8864.50,14,1377.00,30,8736.00,14,53.1870,14,,,,1389515.45,196971.00,1356687.00,23185967.00,145.19,8.3371,8337.0930,10.00,32.00,2531.00,312.50,62.45,31738.50,1575.00,31476.00,123509.00,,,,59720.17,3571.00,59125.00,189189.00,358.3210,,,,3063.0000,10337.0000,773502.0000,LOS ANGELES BASIN,,CA,12,05S,13W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7494620,-118.1919710,33.7494620,-118.1919710
04037202660000,,J-165,12,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (CA),CA COAST,,,UPPER TERMINAL,UPPER TERMINAL,MULTIPLE,30.00,KB,15.08,4500.00,,OIL,ACTIVE,2,"100139810,100625887",MULTIPLE,MULTIPLE,1967-09-12,1977-01-01,D,,,,,,1977-01-01,2023-08-01,461,,,,,,,,,,,,10154.50,7,2052.00,259,10056.00,7,60.9270,7,,,,879031.99,179658.00,849089.00,14332498.00,211.59,5.2742,5274.1920,146.00,451.00,27896.00,323.73,90.54,38169.00,3606.00,37568.00,231164.00,,,,84113.33,6974.00,82951.00,478736.00,504.6800,,,,1839.0000,6130.0000,349058.0000,LOS ANGELES BASIN,,CA,12,05S,13W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7521100,-118.1951140,,
04037202270000,,M280D,3,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (CA),CA COAST,,,TAR,TAR,TAR,24.00,KB,13.12,2735.00,2735.00,OIL,INACTIVE,1,100135929,COM,,1967-08-15,1967-09-01,V,,,,,,1977-01-01,2023-02-01,417,,,,,,,,,,,,2678.33,103,918.00,67,2670.00,103,16.0700,103,,,,413684.97,44538.00,406262.00,6982602.00,109.63,2.4821,2482.1100,2.00,10.00,,200.00,24.05,6876.17,169.00,6848.00,39476.00,,,,14050.17,271.00,14005.00,83342.00,84.3010,,,,2.0000,10.0000,,LOS ANGELES BASIN,,CA,03,05S,13W,,,,,,,,,,,14.700000,,33.7652210,-118.2193910,33.7652210,-118.2193910
04037202220000,,J-143,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (CA),CA COAST,,,UPPER TERMINAL,UPPER TERMINAL,UPPER TERMINAL,,,16.40,,,OIL,ACTIVE,1,100139796,COM,,,1977-01-01,D,,,,,,1977-01-01,2023-08-01,472,,,,,,,,,,,,6998.00,44,1730.00,140,6978.00,44,41.9880,44,,,,964179.49,146799.00,939713.00,16856768.00,156.22,5.7851,5785.0770,218.00,667.00,63200.00,326.84,142.34,31789.67,5548.00,30865.00,173508.00,,,,54739.83,11543.00,52816.00,355740.00,328.4390,,,,2198.0000,7283.0000,673017.0000,LOS ANGELES BASIN,,CA,12,05S,13W,,,,,,,,,,,17.200000,,33.7522580,-118.1952900,,
04037200090000,,J-171,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (CA),CA COAST,,,TAR,TAR,TAR,,,14.39,,,OIL,ACTIVE,1,100115948,COM,,,1977-01-01,D,,,,,,1977-08-01,2023-06-01,521,,,,,,,,,,,,5519.33,13,2455.00,207,5343.00,13,33.1160,13,,,,417798.65,234676.00,378686.00,2859506.00,619.71,2.5068,2506.7920,77.00,123.00,5745.00,626.02,119.75,6367.83,833.00,6229.00,20788.00,,,,11714.83,2411.00,11313.00,42313.00,70.2890,,,,1585.0000,2683.0000,56236.0000,LOS ANGELES BASIN,,CA,12,05S,13W,,,,,,,,,,,12.300000,,33.7520520,-118.1946950,,
04037180840000,JOUGHIN UNIT,1-M,JOUGHIN UNIT,BREA CANON OIL,BREA CANON OIL,BREA CANON OIL,,TORRANCE,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,MULTIPLE,,,27.59,,,OIL,INACTIVE,2,"100135527,130235434",MULTIPLE,MULTIPLE,,1976-07-01,V,,,,,,1977-01-01,2022-01-01,499,,,,,,,,,,,,2918.67,181,874.00,111,2913.00,181,17.5120,181,,,,165985.70,26968.00,161491.00,5759429.00,166.99,0.9959,995.9140,36.00,105.00,5838.00,342.86,0.00,6176.33,524.00,6089.00,98214.00,,,,10949.67,1138.00,10760.00,158391.00,65.6980,,,,652.0000,1434.0000,99644.0000,LOS ANGELES BASIN,,CA,19,04S,13W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.8085710,-118.2851330,33.8085710,-118.2851330
04037180410000,SOUTH TORRANCE UNIT,AC-118,SOUTH TORRANCE UNIT,E & B NAT RES MGMT CORP,E & B NAT RES MGMT CORP,E & B NAT RES MGMT CORP,,TORRANCE,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,OTHERS,,,35.00,3800.00,3800.00,OIL,ACTIVE,1,100135523,COM,,1954-10-23,1976-01-01,V,,,,,,1977-01-01,2023-08-01,553,,,,,,,,,,,,2835.50,73,573.00,33,2796.00,73,17.0130,73,,,,481248.67,61672.00,470970.00,5698254.00,130.95,2.8875,2887.4920,39.00,224.00,10963.00,174.11,180.12,10118.17,1807.00,9817.00,40343.00,,,,19967.17,3613.00,19365.00,75526.00,119.8030,,,,310.0000,609.0000,80743.0000,LOS ANGELES BASIN,,CA,30,04S,13W,,,,,,,,,,,17.900000,,33.7958030,-118.2832490,33.7958030,-118.2832490
04037180380000,SOUTH TORRANCE UNIT,AC-115,SOUTH TORRANCE UNIT,E & B NAT RES MGMT CORP,E & B NAT RES MGMT CORP,E & B NAT RES MGMT CORP,,TORRANCE,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,OTHERS,,,37.00,3800.00,3800.00,OIL,ACTIVE,1,100114225,COM,,1953-10-10,1976-01-01,V,,,,,,1977-01-01,2023-07-01,209,,,,,,,,,,,,675.33,8,199.00,383,656.00,8,4.0520,8,,,,30650.65,13276.00,28438.00,496556.00,466.84,0.1839,183.9040,34.00,,322.00,,179.69,2994.00,420.00,2924.00,34744.00,,,,6016.33,974.00,5854.00,68691.00,36.0980,,,,68.0000,0.0000,509.0000,LOS ANGELES BASIN,,CA,30,04S,13W,,,,,,,,,,,16.700000,,33.7971500,-118.2834130,33.7971500,-118.2834130
04037180370000,SOUTH TORRANCE UNIT,AC-114,SOUTH TORRANCE UNIT,E & B NAT RES MGMT CORP,E & B NAT RES MGMT CORP,E & B NAT RES MGMT CORP,,TORRANCE,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,OTHERS,26.00,KB,22.42,3810.00,,OIL,INACTIVE,1,100135522,COM,,1953-10-27,1976-01-01,D,,,,,,1977-01-01,2021-02-01,511,,,,,,,,,,,,2270.17,22,457.00,22,2194.00,22,13.6210,22,,,,252026.16,51325.00,243472.00,3390778.00,210.80,1.5122,1512.1570,55.00,56.00,2989.00,982.14,179.73,10963.17,1615.00,10694.00,4160.00,,,,22236.67,3688.00,21622.00,14318.00,133.4200,,,,1183.0000,1070.0000,66967.0000,LOS ANGELES BASIN,,CA,30,04S,13W,,,,,,,,,,,16.400000,,33.7965890,-118.2876430,,
04037180360000,SOUTH TORRANCE UNIT,AC-113,SOUTH TORRANCE UNIT,E & B NAT RES MGMT CORP,E & B NAT RES MGMT CORP,E & B NAT RES MGMT CORP,,TORRANCE,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,OTHERS,49.00,KB,36.27,3800.00,3800.00,OIL,INACTIVE,1,100135521,COM,,1953-09-25,1976-01-01,V,,,,,,1977-01-01,2022-06-01,516,,,,,,,,,,,,921.50,195,77.00,24,920.00,195,5.5290,195,,,,98987.38,9224.00,97450.00,2079110.00,94.65,0.5939,593.9240,6.00,21.00,0.00,285.71,179.37,1368.67,244.00,1328.00,6310.00,,,,2973.33,536.00,2884.00,14374.00,17.8400,,,,141.0000,937.0000,55497.0000,LOS ANGELES BASIN,,CA,30,04S,13W,,,,,,,,,,,17.200000,,33.7971610,-118.2846530,33.7971610,-118.2846530
