DateTime,Date/Time,H2S,Averaging Hour,ws,wd,latitude,longitude,Monitor,Join_Count,MinDist,Converted_Angle,Refinery
10/22/2021 18:35,10/22/2021 18:35,275.02,5 Min,6.12,245.67,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 18:40,10/22/2021 18:40,292.28,5 Min,7.33,241.46,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 18:45,10/22/2021 18:45,295.4,5 Min,5.19,251.53,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 18:50,10/22/2021 18:50,227.99,5 Min,5.68,229.63,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 18:55,10/22/2021 18:55,194.35,5 Min,6.09,231.62,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:00,10/22/2021 19:00,225.23,5 Min,4.56,250.72,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:05,10/22/2021 19:05,303.6,5 Min,4.12,249.35,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:10,10/22/2021 19:10,179.87,5 Min,4.2,235.79,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:15,10/22/2021 19:15,396.33,5 Min,3.83,230.08,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:20,10/22/2021 19:20,276.22,5 Min,4.4,243.78,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:25,10/22/2021 19:25,444.41,5 Min,3.52,245.5,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:30,10/22/2021 19:30,377.09,5 Min,3.35,242.54,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:35,10/22/2021 19:35,276.27,5 Min,2.71,240.25,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:40,10/22/2021 19:40,214.1,5 Min,3.27,231.95,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:45,10/22/2021 19:45,233.77,5 Min,3.39,244.69,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:50,10/22/2021 19:50,80.04,5 Min,3.98,222.92,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 19:55,10/22/2021 19:55,299.89,5 Min,3.89,254.64,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:00,10/22/2021 20:00,197.79,5 Min,4.42,270.68,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:05,10/22/2021 20:05,293.42,5 Min,4.65,240.92,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:10,10/22/2021 20:10,307.77,5 Min,4.13,260.24,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:15,10/22/2021 20:15,325.99,5 Min,4.67,276.68,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:20,10/22/2021 20:20,239.81,5 Min,4.36,276.16,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:25,10/22/2021 20:25,293.68,5 Min,3.71,259.71,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:30,10/22/2021 20:30,378.71,5 Min,4.05,272.75,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:35,10/22/2021 20:35,516.2,5 Min,3.95,267.87,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:40,10/22/2021 20:40,239.8,5 Min,4.32,269.96,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:45,10/22/2021 20:45,643.1,5 Min,3.72,269.43,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:50,10/22/2021 20:50,647.64,5 Min,4.56,280.54,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 20:55,10/22/2021 20:55,424.02,5 Min,4.37,272.19,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:00,10/22/2021 21:00,301.39,5 Min,3.26,272.21,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:05,10/22/2021 21:05,280.4,5 Min,3.37,289.25,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:10,10/22/2021 21:10,232.73,5 Min,3.09,286.8,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:15,10/22/2021 21:15,584.69,5 Min,2.29,277.3,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:20,10/22/2021 21:20,263.14,5 Min,3.12,268.15,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:25,10/22/2021 21:25,267.38,5 Min,1.63,263.25,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:30,10/22/2021 21:30,143.45,5 Min,2.06,267.83,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:35,10/22/2021 21:35,182.5,5 Min,2.62,275.81,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:40,10/22/2021 21:40,301.78,5 Min,2.74,270.47,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:45,10/22/2021 21:45,163.33,5 Min,3.14,285.13,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:50,10/22/2021 21:50,241.41,5 Min,2.71,288.72,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 21:55,10/22/2021 21:55,119,5 Min,2.76,318.32,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:00,10/22/2021 22:00,332.54,5 Min,1.72,270.23,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:05,10/22/2021 22:05,312.6,5 Min,1.9,230.16,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:10,10/22/2021 22:10,403.84,5 Min,2.9,240.78,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:15,10/22/2021 22:15,226.74,5 Min,2.59,262.16,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:20,10/22/2021 22:20,333.95,5 Min,2.2,265.96,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:25,10/22/2021 22:25,152.6,5 Min,2.2,305.01,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:30,10/22/2021 22:30,291.79,5 Min,2.69,267.85,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:35,10/22/2021 22:35,608.42,5 Min,3.27,268.76,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:40,10/22/2021 22:40,350.32,5 Min,4.2,264,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:45,10/22/2021 22:45,356.68,5 Min,3.09,271.29,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:50,10/22/2021 22:50,300.52,5 Min,3.25,271.94,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 22:55,10/22/2021 22:55,278.83,5 Min,2.91,263.19,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:00,10/22/2021 23:00,210.39,5 Min,2.81,266.84,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:05,10/22/2021 23:05,114.4,5 Min,2.84,261.5,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:10,10/22/2021 23:10,232.32,5 Min,2.09,239.51,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:15,10/22/2021 23:15,195.55,5 Min,1.94,242.5,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:20,10/22/2021 23:20,99.8,5 Min,1.58,264.85,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:25,10/22/2021 23:25,493.04,5 Min,2.31,282.86,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:30,10/22/2021 23:30,116.43,5 Min,2.09,272.94,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:35,10/22/2021 23:35,107.06,5 Min,1.36,270.53,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:40,10/22/2021 23:40,178.9,5 Min,1.21,234.66,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:45,10/22/2021 23:45,73.2,5 Min,1.84,332.03,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:50,10/22/2021 23:50,127.74,5 Min,1.24,295.16,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/22/2021 23:55,10/22/2021 23:55,414.55,5 Min,2.43,254.89,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:00,10/23/2021 0:00,381.62,5 Min,2.08,252.07,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:05,10/23/2021 0:05,216.43,5 Min,3.36,234.07,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:10,10/23/2021 0:10,316.91,5 Min,3.26,244.34,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:15,10/23/2021 0:15,185.81,5 Min,3.66,245.57,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:20,10/23/2021 0:20,203.12,5 Min,2.13,227.23,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:25,10/23/2021 0:25,269,5 Min,2.14,219.21,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:30,10/23/2021 0:30,253.33,5 Min,2.23,204.23,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:35,10/23/2021 0:35,328.38,5 Min,1.43,217.97,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:40,10/23/2021 0:40,314.12,5 Min,2.13,276.23,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:45,10/23/2021 0:45,198.4,5 Min,2.07,270.32,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:50,10/23/2021 0:50,175.48,5 Min,1.78,273.51,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 0:55,10/23/2021 0:55,131.58,5 Min,2.01,264.19,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:00,10/23/2021 1:00,246.82,5 Min,2.87,270.49,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:05,10/23/2021 1:05,294.97,5 Min,3.36,273.79,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:10,10/23/2021 1:10,330.44,5 Min,2.68,268.43,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:15,10/23/2021 1:15,239.81,5 Min,1.86,263.52,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:20,10/23/2021 1:20,302.64,5 Min,1.9,276.09,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:25,10/23/2021 1:25,248.74,5 Min,1.6,276.36,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:30,10/23/2021 1:30,370.73,5 Min,1.81,227.23,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:35,10/23/2021 1:35,528.41,5 Min,1.41,212.66,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:40,10/23/2021 1:40,413.15,5 Min,2.1,247.68,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:45,10/23/2021 1:45,387,5 Min,1.82,262.28,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:50,10/23/2021 1:50,380.34,5 Min,1.73,272.85,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 1:55,10/23/2021 1:55,185.37,5 Min,1.74,283.8,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:00,10/23/2021 2:00,204.38,5 Min,2.56,265.15,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:05,10/23/2021 2:05,219.93,5 Min,1.7,268.11,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:10,10/23/2021 2:10,29.32,5 Min,0.62,330.67,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:15,10/23/2021 2:15,28.06,5 Min,0.65,65.3,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:20,10/23/2021 2:20,50.74,5 Min,1.06,94.68,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:25,10/23/2021 2:25,106.92,5 Min,1.08,132.13,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:30,10/23/2021 2:30,120.11,5 Min,0.68,126.3,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:35,10/23/2021 2:35,562.21,5 Min,1.05,152.48,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:40,10/23/2021 2:40,180.03,5 Min,1.53,138.01,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:45,10/23/2021 2:45,143.54,5 Min,1.34,150.45,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:50,10/23/2021 2:50,557.1,5 Min,0.87,253.2,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 2:55,10/23/2021 2:55,127.43,5 Min,1.98,266.8,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:00,10/23/2021 3:00,217.82,5 Min,1.72,283.48,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:05,10/23/2021 3:05,189.23,5 Min,1.22,259.01,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:10,10/23/2021 3:10,217.35,5 Min,1.9,246.63,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:15,10/23/2021 3:15,59.33,5 Min,1.13,236.18,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:20,10/23/2021 3:20,283.31,5 Min,2.16,271.82,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:25,10/23/2021 3:25,255.1,5 Min,2.88,258.81,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:30,10/23/2021 3:30,182.09,5 Min,3.09,264,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:35,10/23/2021 3:35,180.16,5 Min,3.31,286.21,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:40,10/23/2021 3:40,203.5,5 Min,2.85,285.08,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:45,10/23/2021 3:45,162.74,5 Min,2.15,293.76,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:50,10/23/2021 3:50,153.37,5 Min,3.07,299.11,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 3:55,10/23/2021 3:55,263.96,5 Min,3.46,295.03,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:00,10/23/2021 4:00,325.03,5 Min,3.12,286.11,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:05,10/23/2021 4:05,471.59,5 Min,3.38,287.88,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:10,10/23/2021 4:10,433.18,5 Min,3.95,288.54,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:15,10/23/2021 4:15,479.23,5 Min,4.15,281.66,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:20,10/23/2021 4:20,452.72,5 Min,3.6,290.23,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:25,10/23/2021 4:25,522.04,5 Min,3.73,283.79,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:30,10/23/2021 4:30,600.37,5 Min,3.71,290.3,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:35,10/23/2021 4:35,294.62,5 Min,3.59,303.38,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:40,10/23/2021 4:40,529.9,5 Min,3.63,292.49,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:45,10/23/2021 4:45,451.86,5 Min,3.17,280.44,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:50,10/23/2021 4:50,166.71,5 Min,3.67,284.24,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 4:55,10/23/2021 4:55,306.57,5 Min,2.44,287.01,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 5:00,10/23/2021 5:00,161.35,5 Min,3.09,265.1,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 5:05,10/23/2021 5:05,285.79,5 Min,2.67,279.54,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 5:10,10/23/2021 5:10,393.88,5 Min,3.16,288.21,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
10/23/2021 5:15,10/23/2021 5:15,353.9,5 Min,3.44,276.94,33.836781,-118.258583,213th&Chico,1,2873.053381,306,Marathon (Carson)
