API14,Well Name,Well Number,Lease Name,Operator Alias (Legacy),Operator Company Name,Operator (Reported),Operator Ticker,Field,County/Parish,DI Basin,DI Play,DI Subplay,Formation at Total Depth,Target Formation,Producing Reservoir,Elevation,Elevation Type,Ground Elevation,Measured Depth (TD),True Vertical Depth,Production Type,Well Status,Producing Entity Count,Producing Entity ID,Producing Entity Type,Producing Entity Lease Number,Spud Date,Completion Date,Drill Type,Upper Perforation,Lower Perforation,Gross Perforated Interval,Horizontal Length,DI Lateral Length,First Prod Date,Last Prod Date,Months Produced,Start Date (First Treatment Job),End Date (First Treatment Job),First Test Gas Volume,First Test Oil Volume,First Test Water Volume,First Test Hours Tested,First Test Production Method,First Well Test Date,First Reported Test Type,Last Well Test Date,Last Test Type,Peak BOE,Peak BOE Month No.,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Peak BOE per perforated Ft,Peak Gas per perforated Ft,Peak Oil per perforated Ft,Cum BOE,Cum Gas,Cum Oil,Cum Water,Cum GOR,Cum BCFGE,Cum MMCFGE,Latest Gas,Latest Oil,Latest Water,Latest GOR,2nd Month GOR,First 6 BOE,First 6 Gas,First 6 Oil,First 6 Water,First 6 BOE per perforated Ft,First 6 Gas per perforated Ft,First 6 Oil per perforated Ft,First 12 BOE,First 12 Gas,First 12 Oil,First 12 Water,First 12 MMCFGE,First 12 BOE per perforated Ft,First 12 Gas per perforated Ft,First 12 Oil per perforated Ft,Last 12 Gas,Last 12 Oil,Last 12 Water,AAPG Geologic Province,Play Assessment Basin,State,Section,Township,Range,Quarter Quarter,District,Abstract,Block,Survey,Shallowest Perforation,Deepest Perforation,Gross Perforated Interval (Multiple Prod Entities),Oil Gatherer,Gas Gatherer,Oil Gravity,Gas Gravity,Surface Hole Latitude (WGS84),Surface Hole Longitude (WGS84),Bottom Hole Latitude (WGS84),Bottom Hole Longitude (WGS84)
04037216470000,,J-438,,CALIFORNIA RESOURCES,CALIFORNIA RESOURCES CORPORATION,CALIFORNIA RESOURCES CORPORATION,CRC,WILMINGTON,LOS ANGELES (CA),CA COAST,,,RANGER,RANGER,MULTIPLE,,,16.40,,,OIL,ACTIVE,3,"100140061,130253521,130258995",MULTIPLE,MULTIPLE,,1977-01-01,V,,,,,,1977-01-01,2024-03-01,208,,,,,,,,,,,,11533.00,493,4338.00,493,10810.00,493,69.1980,493,,,,747824.29,251882.00,705844.00,20638690.00,356.85,4.4869,4486.9460,1072.00,2236.00,150274.00,479.43,125.48,42714.00,5100.00,41864.00,187476.00,,,,69490.00,10266.00,67779.00,386416.00,416.9400,,,,12408.0000,25093.0000,1834489.0000,LOS ANGELES BASIN,,CA,13,05S,13W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.7443200,-118.1903000,33.7443200,-118.1903000
04037216400000,,,DW-7,"SIGNAL HILL PETROLEUM, INC.",SIGNAL HILL PETROLEUM,SIGNAL HILL PETROLEUM,,LONG BEACH,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,MULTIPLE,160.00,KB,142.00,,,OIL,ACTIVE,4,"100240257,100636277,128999070,130224313",MULTIPLE,MULTIPLE,,1999-10-01,V,,,,,,1999-10-01,2024-03-01,277,,,,,,,,,,,,5168.00,130,708.00,130,5050.00,130,31.0080,130,,,,420726.16,72853.00,408584.00,1059376.00,178.31,2.5244,2524.3570,380.00,224.00,8463.00,1696.43,187.28,8439.17,1417.00,8203.00,2178.00,,,,17956.50,2835.00,17484.00,4173.00,107.7390,,,,4171.0000,2592.0000,79767.0000,LOS ANGELES BASIN,,CA,19,04S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.8055760,-118.1702960,33.8055760,-118.1702960
04037216340000,,DW-1,,"SIGNAL HILL PETROLEUM, INC.",SIGNAL HILL PETROLEUM,SIGNAL HILL PETROLEUM,,LONG BEACH,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,MULTIPLE,160.00,KB,142.00,,,OIL,ACTIVE,3,"100623348,102256635,130229895",MULTIPLE,MULTIPLE,,1976-12-01,V,,,,,,2002-07-01,2024-03-01,259,,,,,,,,,,,,550.50,75,778.00,224,538.00,75,3.3030,75,,,,78347.47,29613.00,73412.00,1472203.00,403.38,0.4701,470.0850,193.00,114.00,1587.00,1692.98,149.43,1969.33,290.00,1921.00,72501.00,,,,3646.67,508.00,3562.00,137129.00,21.8800,,,,2486.0000,1511.0000,18853.0000,LOS ANGELES BASIN,,CA,19,04S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.8060230,-118.1702960,33.8060230,-118.1702960
04037216260000,NWU,55-2,NWU,WARREN PETROLEUM,WARREN RESOURCES,WARREN RESOURCES,,WILMINGTON,LOS ANGELES (CA),CA COAST,,,RANGER,RANGER,RANGER,41.00,KB,30.00,3798.00,,OIL,ACTIVE,1,100136234,COM,,1976-07-05,1977-07-01,D,,,,,,1977-07-01,2024-03-01,490,,,,,,,,,,,,1633.83,73,140.00,415,1628.00,73,9.8030,73,,,,253146.39,11252.00,251271.00,1097972.00,44.78,1.5189,1518.8780,62.00,526.00,3768.00,117.87,185.11,5260.00,210.00,5225.00,7818.00,,,,9921.67,322.00,9868.00,12343.00,59.5300,,,,862.0000,6412.0000,49083.0000,LOS ANGELES BASIN,,CA,28,04S,13W,,,,,,,,,,,14.200000,,33.7913820,-118.2489320,,
04037216240000,NWU,55-1,NWU,WARREN PETROLEUM,WARREN RESOURCES,WARREN RESOURCES,,WILMINGTON,LOS ANGELES (CA),CA COAST,,,RANGER,RANGER,RANGER,41.00,KB,36.09,3867.00,,OIL,ACTIVE,1,100114510,COM,,1976-06-20,1977-07-01,D,,,,,,1977-07-01,2024-03-01,527,,,,,,,,,,,,2808.33,111,144.00,491,2788.00,111,16.8500,111,,,,200936.01,10825.00,199132.00,1656304.00,54.36,1.2056,1205.6170,1.00,7.00,522.00,142.86,184.30,2979.17,259.00,2936.00,11449.00,,,,5573.67,418.00,5504.00,19051.00,33.4420,,,,40.0000,295.0000,25687.0000,LOS ANGELES BASIN,,CA,28,04S,13W,,,,,,,,,,,14.200000,,33.7913820,-118.2489620,,
04037216180000,,BW-9,,"SIGNAL HILL PETROLEUM, INC.",SIGNAL HILL PETROLEUM,SIGNAL HILL PETROLEUM,,LONG BEACH,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,MULTIPLE,87.00,KB,84.05,,,OIL,ACTIVE,4,"100618642,128978153,129038198,130246370",MULTIPLE,MULTIPLE,,2011-11-15,D,,,,,,2014-10-01,2024-03-01,114,,,,,,,,,,,,2703.00,2,640.00,85,2616.00,2,16.2180,2,,,,86209.66,23662.00,82266.00,1427646.00,287.63,0.5173,517.2580,15.00,684.00,15800.00,21.93,197.67,9430.17,2101.00,9080.00,50817.00,,,,13687.33,3410.00,13119.00,104356.00,82.1240,,,,519.0000,8469.0000,188271.0000,LOS ANGELES BASIN,,CA,19,04S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.8110430,-118.1744920,,
04037216150000,,BW-6,19,"SIGNAL HILL PETROLEUM, INC.",SIGNAL HILL PETROLEUM,SIGNAL HILL PETROLEUM,,LONG BEACH,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,MULTIPLE,87.00,KB,82.91,5775.00,,OIL,INACTIVE,3,"100223111,100225450,130246369",MULTIPLE,MULTIPLE,1976-05-20,2012-12-05,D,,,,,,1996-04-01,2022-01-01,97,,,,,,,,,,,,3188.67,205,647.00,232,3116.00,205,19.1320,205,,,,79986.00,16524.00,77232.00,269187.00,213.95,0.4799,479.9160,19.00,25.00,474.00,760.00,139.53,100.33,14.00,98.00,13337.00,,,,100.33,14.00,98.00,13337.00,0.6020,,,,100.0000,218.0000,4188.0000,LOS ANGELES BASIN,,CA,19,04S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.8110960,-118.1744920,,
04037216120000,,,BW-3,"SIGNAL HILL PETROLEUM, INC.",SIGNAL HILL PETROLEUM,SIGNAL HILL PETROLEUM,,LONG BEACH,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,MULTIPLE,87.00,KB,77.00,,,OIL,ACTIVE,3,"100223110,100618641,130235502",MULTIPLE,MULTIPLE,,2012-03-30,D,,,,,,1995-10-01,2024-03-01,329,,,,,,,,,,,,1137.00,199,164.00,225,1111.00,199,6.8220,199,,,,92752.34,17252.00,89877.00,1657098.00,191.95,0.5565,556.5140,4.00,168.00,34.00,23.81,129.82,2800.67,400.00,2734.00,35912.00,,,,5644.00,810.00,5509.00,79985.00,33.8640,,,,127.0000,2089.0000,409.0000,LOS ANGELES BASIN,,CA,19,04S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.8112070,-118.1744920,,
04037216110000,,,BW-2,"SIGNAL HILL PETROLEUM, INC.",SIGNAL HILL PETROLEUM,SIGNAL HILL PETROLEUM,,LONG BEACH,LOS ANGELES (CA),CA COAST,,,OTHERS,OTHERS,MULTIPLE,,,77.00,5411.00,,OIL,INACTIVE,3,"100222749,128975048,130246367",MULTIPLE,MULTIPLE,1976-07-20,1976-12-01,D,,,,,,1995-11-01,2020-11-01,201,,,,,,,,,,,,3064.83,186,419.00,186,2995.00,186,18.3890,186,,,,79759.00,12522.00,77672.00,3108321.00,161.22,0.4786,478.5540,13.00,32.00,5284.00,406.25,140.85,1389.67,202.00,1356.00,30127.00,,,,1514.67,220.00,1478.00,36648.00,9.0880,,,,138.0000,340.0000,57229.0000,LOS ANGELES BASIN,,CA,19,04S,12W,,,,,,,,,MULTIPLE,MULTIPLE,,,33.8112340,-118.1744920,,
04037215580000,TVIC,94,TVIC,SENTINEL PEAK RESOURCES,SENTINEL PEAK RESOURCES,SENTINEL PEAK RESOURCES,,INGLEWOOD,LOS ANGELES (CA),CA COAST,,,NO POOL BREAKDOWN,NO POOL BREAKDOWN,NO POOL BREAKDOWN,320.00,KB,306.58,8725.00,,OIL,ACTIVE,1,100136223,COM,,1975-07-21,1976-04-01,D,,,,,,1977-01-01,2024-03-01,563,,,,,,,,,,,,1709.67,159,4676.00,542,1614.00,159,10.2580,159,,,,319654.04,313428.00,267416.00,1434082.00,1172.06,1.9179,1917.9240,20.00,7.00,520.00,2857.14,0.00,5385.00,0.00,5385.00,6662.00,,,,10214.00,0.00,10214.00,19691.00,61.2840,,,,11280.0000,2957.0000,18456.0000,LOS ANGELES BASIN,,CA,07,02S,14W,,,,,,,,,,,18.000000,,34.0072630,-118.3819890,,
